Date,Price/Gallon,Gallons,Total,Vendor
3/12/2019,$3.879,17.378,$67.41,Costco
3/21/2019,$3.699,18.039,$66.73,Costco
3/30/2019,$4.399,4.563,$20.07,Shell
4/17/2019,$3.679,14.833,$54.57,Costco
4/20/2019,$3.999,3.751,$15.00,Circle K
4/23/2019,$3.859,9.069,$35.00,Valero
4/30/2019,$4.159,4.791,$19.93,Circle K
5/14/2019,$4.399,5.686,$25.01,Shell
5/28/2019,$4.499,2.223,$10.00,Shell
5/30/2019,$3.399,16.019,$54.45,Costco
6/8/2019,$3.739,17.353,$64.88,Costco
6/9/2019,$4.299,2.795,$12.02,ARCO
6/15/2019,$3.559,17.771,$63.25,Costco
6/22/2019,$3.559,5.632,$20.04,Vons
6/29/2019,$3.489,17.184,$59.95,Vons
6/29/2019,$3.299,16.715,$55.14,Costco
7/4/2019,$3.199,14.017,$44.84,Costco
7/11/2019,$3.239,17.66,$57.20,Costco
7/14/2019,$3.259,15.703,$51.18,Costco
7/16/2019,$3.299,16.153,$53.29,Costco
7/31/2019,$3.229,15.828,$51.11,Costco
8/5/2019,$3.219,16.244,$52.29,Costco
8/30/2019,$3.199,8.721,$27.90,Costco
9/5/2019,$3.459,18.007,$62.29,Costco
9/9/2019,$3.999,3.002,$12.00,Shell
9/23/2019,$3.859,17.034,$65.73,Costco
9/29/2019,$3.439,19.299,$66.37,Costco
10/4/2019,$3.639,18.198,$66.22,Costco
10/7/2019,$3.499,5.715,$20.00,Vons
10/8/2019,$3.899,7.067,$27.55,VP Fuels
10/27/2019,$3.599,4.298,$15.47,Vons
10/30/2019,$3.619,4.148,$15.01,Vons
11/6/2019,$3.559,17.429,$62.03,Costco
11/8/2019,$3.429,15.966,$54.75,Costco
11/12/2019,$3.839,15.75,$60.46,Costco
11/23/2019,$3.399,16.569,$56.32,Costco
12/3/2019,$3.739,15.534,$58.08,Costco
12/14/2019,$3.999,3.689,$14.75,ARCO
12/20/2019,$3.359,18.061,$60.67,Costco
1/5/2020,$3.399,14.655,$49.81,Costco
1/9/2020,$3.319,7.291,$24.22,VP Fuels
1/15/2020,$3.299,14.228,$46.94,Costco
1/27/2020,$3.439,5.816,$20.00,USA Gas
2/3/2020,$3.239,12.952,$41.95,Costco
2/10/2020,$3.699,2.706,$10.01,Vons
2/18/2020,$3.799,15.959,$60.63,Costco
2/26/2020,$3.159,10.654,$33.66,Costco
3/1/2020,$3.399,7.355,$25.00,Super Gas
